invoice_number,invoice_date,due_date,client_id,client_name,service,amount,currency,status,payment_date,stripe_link,invoice_url,email_sent,reminder_sent,notes
AWI-202603-001,2026-03-13,2026-03-31,RQM-001,RQM Group,"Prorated March 1-12, 2026 + April 2026 Full Marketing Retainer",7629,AED,pending,,,/ops/proposal-system/payments/invoices/AWI-202603-001/invoice.html,false,false,"Revised on 2026-03-13 to consolidate the 12 active days of March with the full April 2026 retainer, rounded to the nearest dirham."
AWI-202603-002,2026-03-02,2026-03-09,EIN-001,Ein Abaya,Growth Partnership — Ramadan Special,16000,SAR,pending,,,/invoice/AWI-202603-002,false,false,"Website rebuild + strategy + tracking + ads Month 1. Market value 42,000 SAR. Split: 8k now + 8k in 2 weeks (by March 18)"
AWI-202603-003,2026-03-03,2026-03-10,BSQ-001,Basseqat,Full Growth Partnership + Add-Ons,72000,EGP,pending,,,/invoice/QAWlenRLTuHmMWtvGYRf,false,false,"Option 3 + Reply Mgmt (setup waived + 2mo free) + CRM (40% off + 2mo free) + 1 UGC bonus. Payment split 50/50: 36k now, 36k in 30 days. Market value 110,000 EGP"
AWI-202603-004,2026-03-09,2026-03-12,MEG-001,Meguiar's Egypt (El-Adwar Group),Meeting-Revised Launch Structure,55000,EGP,pending,,,/invoice/5aCK4raGSXM2P2XMPLNQ,false,false,"Final March 8 launch alignment: e-commerce build reduced from 45,000 to 40,000 EGP and Month 1 management reduced from 32,500 to 15,000 EGP. Amount due now: 55,000 EGP."
AWI-202603-005,2026-03-08,2026-03-11,2024-07-22-01,Komu Lale,Ad Campaign Management + Creative Pack — Teenagers Account,56900,EGP,pending,,,/invoice/TpHLvdcU1sevmargK1Yd,false,false,"Teenagers/new-account scope. Legacy ad-management 3-month bundle at $700 equivalent using 49.91 EGP/USD (realegp.com/usd), billed at 34,900 EGP + Creative Pack 22,000 EGP. Savings: 4,000 EGP."
