invoice_number,invoice_date,due_date,client_id,client_name,service,amount,currency,status,payment_date,stripe_link,invoice_url,email_sent,reminder_sent,notes
AWI-202603-001,2026-03-01,2026-03-08,RQM-001,RQM Group,Full Marketing Retainer,5500,AED,pending,,,/Proposals/_Proposal-System/payments/invoices/AWI-202603-001/invoice.html,false,false,March 2026 retainer
AWI-202603-002,2026-03-02,2026-03-09,EIN-001,Ein Abaya,Growth Partnership — Ramadan Special,16000,SAR,pending,,,/invoice/AWI-202603-002,false,false,"Website rebuild + strategy + tracking + ads Month 1. Market value 42,000 SAR. Split: 8k now + 8k upon Marketing Strategy approval"
AWI-202603-003,2026-03-03,2026-03-10,BSQ-001,Basseqat,Full Growth Partnership + Add-Ons,72000,EGP,pending,,,/invoice/QAWlenRLTuHmMWtvGYRf,false,false,"Option 3 + Reply Mgmt (setup waived + 2mo free) + CRM (40% off + 2mo free) + 1 UGC bonus. Payment split 50/50: 36k now, 36k in 30 days. Market value 110,000 EGP"
