proposal_number,pipeline_stage,next_action,next_action_date,owner,priority,last_contact_date,notes
AWP-EG-0MKC-SLK,Ready To Send,Client to confirm option and transfer,2026-02-23,Fouad Nasseredin,High,2026-02-16,Follow-up sent by operations coordinator
AWP-EG-0MD8-JFM,Ready To Send,Client to confirm option and transfer,2026-03-01,Fouad Nasseredin,High,2026-02-22,Meeting completed; follow-up email prepared with proposal link
AWP-EG-0MGS-T8J,Ready To Send,Client to confirm option and transfer,2026-03-02,Fouad Nasseredin,High,2026-02-23,Meeting completed; proposal with Options 1 & 3 sent with follow-up email
